project_id,project_name,project_type,location,start_date,end_date,duration_days,project_size_sqft,complexity
P0255,South Municipal Project 255,Road & Infrastructure,"Amherst, NY",2025-09-01,2026-05-22,263,471292,Medium
P0256,South Industrial Project 256,Commercial Sitework,"Clarence, NY",2024-07-16,2025-03-03,230,123872,High
P0257,South Commercial Project 257,Road & Infrastructure,"Buffalo, NY",2025-05-25,2026-02-06,257,108070,Medium
P0258,South Commercial Project 258,Commercial Sitework,"Buffalo, NY",2026-01-21,2026-10-07,259,444474,Medium
P0259,West Municipal Project 259,Municipal Improvement,"Hamburg, NY",2024-05-23,2024-12-20,211,57078,High
P0260,North Warehouse Project 260,Residential Development,"Williamsville, NY",2025-08-31,2026-06-10,283,383432,Low
P0261,North Commercial Project 261,Commercial Sitework,"Lancaster, NY",2024-07-19,2024-10-21,94,242645,Medium
P0262,East Road Project 262,Warehouse Development,"Cheektowaga, NY",2024-05-03,2024-08-29,118,551507,Low
P0263,Central Commercial Project 263,Residential Development,"Amherst, NY",2024-07-05,2025-03-16,254,320073,High
P0264,South Warehouse Project 264,Commercial Sitework,"Buffalo, NY",2024-11-21,2025-07-04,225,142309,High
P0265,South Industrial Project 265,Residential Development,"Amherst, NY",2025-04-08,2025-11-28,234,344588,Low
P0266,North Commercial Project 266,Residential Development,"Lancaster, NY",2024-12-14,2025-10-16,306,479008,Medium
P0267,North Commercial Project 267,Residential Development,"Cheektowaga, NY",2026-02-09,2026-09-18,221,361699,High
P0268,Central Commercial Project 268,Municipal Improvement,"Lancaster, NY",2025-10-21,2026-03-29,159,350842,Low
P0269,Central Road Project 269,Warehouse Development,"Cheektowaga, NY",2026-02-02,2027-01-09,341,401594,Medium
P0270,North Municipal Project 270,Industrial Site,"Tonawanda, NY",2025-02-06,2025-11-04,271,58925,High
P0271,West Industrial Project 271,Industrial Site,"Cheektowaga, NY",2024-12-11,2025-08-24,256,152023,Low
P0272,Central Warehouse Project 272,Commercial Sitework,"Hamburg, NY",2025-05-25,2025-11-21,180,102388,Medium
P0273,East Industrial Project 273,Residential Development,"Williamsville, NY",2024-05-26,2025-03-13,291,547295,Low
P0274,South Road Project 274,Commercial Sitework,"Lancaster, NY",2024-05-27,2024-09-12,108,272802,High
P0275,North Municipal Project 275,Municipal Improvement,"Buffalo, NY",2025-12-11,2026-04-18,128,450048,High
P0276,Central Municipal Project 276,Municipal Improvement,"Hamburg, NY",2025-05-03,2025-12-04,215,73596,High
P0277,North Commercial Project 277,Road & Infrastructure,"Tonawanda, NY",2025-10-01,2026-06-20,262,366005,Medium
P0278,Central Commercial Project 278,Municipal Improvement,"Williamsville, NY",2025-07-04,2026-02-19,230,554812,High
P0279,West Industrial Project 279,Road & Infrastructure,"Amherst, NY",2024-12-03,2025-10-30,331,537244,High
P0280,Central Municipal Project 280,Warehouse Development,"Hamburg, NY",2025-10-02,2026-08-07,309,427498,Low
P0281,West Road Project 281,Commercial Sitework,"Lancaster, NY",2026-02-17,2026-09-20,215,514097,High
P0282,North Commercial Project 282,Warehouse Development,"Clarence, NY",2025-04-17,2025-09-11,147,163056,Low
P0283,North Commercial Project 283,Municipal Improvement,"Clarence, NY",2024-05-30,2025-01-22,237,29060,Medium
P0284,East Warehouse Project 284,Warehouse Development,"Buffalo, NY",2025-02-18,2025-05-19,90,492272,Low
P0285,South Municipal Project 285,Warehouse Development,"Cheektowaga, NY",2024-10-24,2025-07-30,279,533545,Low
P0286,East Industrial Project 286,Warehouse Development,"Buffalo, NY",2025-09-02,2026-06-09,280,205279,Low
P0287,South Commercial Project 287,Municipal Improvement,"Clarence, NY",2024-09-19,2025-04-13,206,54711,Medium
P0288,East Road Project 288,Residential Development,"Amherst, NY",2026-02-02,2026-09-13,223,158026,Low
P0289,South Industrial Project 289,Warehouse Development,"Tonawanda, NY",2024-05-23,2024-10-17,147,350484,Medium
P0290,West Road Project 290,Road & Infrastructure,"Tonawanda, NY",2024-12-11,2025-04-23,133,480317,Low
P0291,Central Industrial Project 291,Municipal Improvement,"Lancaster, NY",2025-09-15,2026-06-04,262,233134,Low
P0292,North Warehouse Project 292,Warehouse Development,"Tonawanda, NY",2025-07-25,2026-03-31,249,117974,Medium
P0293,Central Industrial Project 293,Residential Development,"Lancaster, NY",2024-01-02,2024-09-20,262,164646,Medium
P0294,Central Warehouse Project 294,Municipal Improvement,"Hamburg, NY",2024-10-30,2025-06-25,238,417400,Low
P0295,West Municipal Project 295,Industrial Site,"Lancaster, NY",2024-09-10,2025-02-26,169,165168,Medium
P0296,South Warehouse Project 296,Residential Development,"Hamburg, NY",2025-10-13,2026-08-11,302,550534,High
P0297,East Municipal Project 297,Road & Infrastructure,"Lancaster, NY",2025-03-28,2026-01-14,292,453774,Medium
P0298,Central Road Project 298,Warehouse Development,"Clarence, NY",2024-02-06,2025-01-12,341,526937,Low
P0299,East Road Project 299,Industrial Site,"Clarence, NY",2024-06-08,2025-04-22,318,426597,Low
P0300,West Commercial Project 300,Industrial Site,"Cheektowaga, NY",2024-01-09,2024-09-18,253,107263,High
