project_id,cost_code,category,subcategory,unit,estimated_quantity,estimated_unit_cost,estimated_cost
P0066,100,Labor,General Labor,hour,2613,31.21,81559.26
P0066,101,Labor,Equipment Operators,hour,3018,43.03,129850.92
P0066,102,Labor,Supervisors,hour,3073,51.79,159137.69
P0066,103,Labor,Skilled Labor,hour,1638,45.51,74545.41
P0066,200,Materials,Gravel,ton,409,35.4,14478.76
P0066,201,Materials,Concrete,cubic_yard,868,138.61,120313.29
P0066,202,Materials,Asphalt,ton,2010,97.52,196014.84
P0066,203,Materials,Topsoil,cubic_yard,1565,37.63,58885.88
P0066,300,Equipment,Excavator,hour,1416,143.04,202542.77
P0066,301,Equipment,Bulldozer,hour,218,145.26,31667.52
P0066,302,Equipment,Loader,hour,1523,118.82,180967.04
P0066,303,Equipment,Compactor,hour,917,92.62,84929.09
P0066,400,Fuel,Diesel,gallon,4993,3.63,18124.49
P0066,500,Subcontractor,Concrete Work,job,2,29252.4,58504.79
P0066,501,Subcontractor,Utility Work,job,1,20437.13,20437.13
P0067,100,Labor,General Labor,hour,3478,31.69,110231.51
P0067,101,Labor,Equipment Operators,hour,4060,40.35,163809.18
P0067,102,Labor,Supervisors,hour,7446,54.2,403553.68
P0067,103,Labor,Skilled Labor,hour,1281,47.6,60975.96
P0067,200,Materials,Gravel,ton,6849,36.68,251219.48
P0067,201,Materials,Concrete,cubic_yard,7384,153.27,1131770.83
P0067,202,Materials,Asphalt,ton,3157,98.8,311907.34
P0067,203,Materials,Topsoil,cubic_yard,5312,40.41,214638.91
P0067,300,Equipment,Excavator,hour,3608,137.82,497243.81
P0067,301,Equipment,Bulldozer,hour,486,148.97,72397.32
P0067,302,Equipment,Loader,hour,826,118.88,98197.77
P0067,303,Equipment,Compactor,hour,1551,100.59,156012.22
P0067,400,Fuel,Diesel,gallon,8823,4.04,35671.91
P0067,500,Subcontractor,Concrete Work,job,1,28341.19,28341.19
P0067,501,Subcontractor,Utility Work,job,4,21471.31,85885.23
P0068,100,Labor,General Labor,hour,6378,32.29,205946.97
P0068,101,Labor,Equipment Operators,hour,5943,43.38,257832.63
P0068,102,Labor,Supervisors,hour,3598,52.31,188218.66
P0068,103,Labor,Skilled Labor,hour,4492,44.97,202013.24
P0068,200,Materials,Gravel,ton,3462,32.9,113910.04
P0068,201,Materials,Concrete,cubic_yard,2121,149.26,316571.3
P0068,202,Materials,Asphalt,ton,6736,93.17,627621.16
P0068,203,Materials,Topsoil,cubic_yard,349,37.08,12940.75
P0068,300,Equipment,Excavator,hour,2989,141.75,423698.02
P0068,301,Equipment,Bulldozer,hour,1313,158.12,207617.34
P0068,302,Equipment,Loader,hour,2400,120.25,288606.87
P0068,303,Equipment,Compactor,hour,502,93.99,47184.7
P0068,400,Fuel,Diesel,gallon,22446,4.07,91449.41
P0068,500,Subcontractor,Concrete Work,job,3,27748.47,83245.42
P0068,501,Subcontractor,Utility Work,job,3,22095.56,66286.69
P0069,100,Labor,General Labor,hour,6918,31.65,218955.39
P0069,101,Labor,Equipment Operators,hour,22829,38.68,882947.68
P0069,102,Labor,Supervisors,hour,13196,57.23,755230.43
P0069,103,Labor,Skilled Labor,hour,20475,45.45,930626.86
P0069,200,Materials,Gravel,ton,12253,34.96,428398.62
P0069,201,Materials,Concrete,cubic_yard,25682,155.69,3998394.17
P0069,202,Materials,Asphalt,ton,23578,92.85,2189107.87
P0069,203,Materials,Topsoil,cubic_yard,18379,36.73,675093.83
P0069,300,Equipment,Excavator,hour,11218,127.23,1427238.92
P0069,301,Equipment,Bulldozer,hour,1537,160.37,246485.67
P0069,302,Equipment,Loader,hour,12521,127.37,1594777.62
P0069,303,Equipment,Compactor,hour,2655,91.53,243012.03
P0069,400,Fuel,Diesel,gallon,91211,4.13,376596.22
P0069,500,Subcontractor,Concrete Work,job,5,29309.91,146549.55
P0069,501,Subcontractor,Utility Work,job,13,22216.4,288813.23
P0070,100,Labor,General Labor,hour,19064,33.38,636367.15
P0070,101,Labor,Equipment Operators,hour,15274,43.91,670650.79
P0070,102,Labor,Supervisors,hour,19019,58.79,1118195.37
P0070,103,Labor,Skilled Labor,hour,17009,47.44,806962.13
P0070,200,Materials,Gravel,ton,3271,33.76,110433.88
P0070,201,Materials,Concrete,cubic_yard,6053,153.7,930331.67
P0070,202,Materials,Asphalt,ton,18998,91.4,1736341.86
P0070,203,Materials,Topsoil,cubic_yard,2432,38.44,93490.73
P0070,300,Equipment,Excavator,hour,2814,138.79,390566.07
P0070,301,Equipment,Bulldozer,hour,8182,143.31,1172550.63
P0070,302,Equipment,Loader,hour,4116,116.97,481435.49
P0070,303,Equipment,Compactor,hour,1286,101.86,130993.54
P0070,400,Fuel,Diesel,gallon,34871,3.68,128319.96
P0070,500,Subcontractor,Concrete Work,job,8,27422.56,219380.44
P0070,501,Subcontractor,Utility Work,job,6,21587.94,129527.64
P0071,100,Labor,General Labor,hour,1142,34.27,39140.06
P0071,101,Labor,Equipment Operators,hour,2053,44.09,90508.83
P0071,102,Labor,Supervisors,hour,855,52.15,44587.52
P0071,103,Labor,Skilled Labor,hour,1957,50.67,99160.95
P0071,200,Materials,Gravel,ton,1395,32.89,45880.54
P0071,201,Materials,Concrete,cubic_yard,133,148.21,19712.49
P0071,202,Materials,Asphalt,ton,470,94.6,44460.33
P0071,203,Materials,Topsoil,cubic_yard,1571,37.23,58483.76
P0071,300,Equipment,Excavator,hour,678,125.08,84807.33
P0071,301,Equipment,Bulldozer,hour,1114,143.75,160134.49
P0071,302,Equipment,Loader,hour,748,112.7,84300.98
P0071,303,Equipment,Compactor,hour,68,100.94,6863.59
P0071,400,Fuel,Diesel,gallon,2106,3.61,7602.38
P0071,500,Subcontractor,Concrete Work,job,1,29531.38,29531.38
P0071,501,Subcontractor,Utility Work,job,1,22797.27,22797.27
P0072,100,Labor,General Labor,hour,5321,31.09,165429.75
P0072,101,Labor,Equipment Operators,hour,19468,42.15,820629.74
P0072,102,Labor,Supervisors,hour,5281,55.7,294155.74
P0072,103,Labor,Skilled Labor,hour,7140,45.46,324591.29
P0072,200,Materials,Gravel,ton,15386,32.05,493119.38
P0072,201,Materials,Concrete,cubic_yard,9781,153.0,1496484.87
P0072,202,Materials,Asphalt,ton,2441,85.13,207811.59
P0072,203,Materials,Topsoil,cubic_yard,7313,35.0,255952.62
P0072,300,Equipment,Excavator,hour,3190,136.77,436290.84
P0072,301,Equipment,Bulldozer,hour,1826,158.47,289359.69
P0072,302,Equipment,Loader,hour,1503,121.29,182294.41
P0072,303,Equipment,Compactor,hour,7441,94.43,702674.87
P0072,400,Fuel,Diesel,gallon,72909,3.89,283568.04
P0072,500,Subcontractor,Concrete Work,job,3,28780.41,86341.22
P0072,501,Subcontractor,Utility Work,job,5,21805.54,109027.7
P0073,100,Labor,General Labor,hour,5146,31.72,163243.4
P0073,101,Labor,Equipment Operators,hour,14515,43.14,626181.11
P0073,102,Labor,Supervisors,hour,2697,51.31,138389.43
P0073,103,Labor,Skilled Labor,hour,19300,50.61,976855.5
P0073,200,Materials,Gravel,ton,20531,32.9,675554.09
P0073,201,Materials,Concrete,cubic_yard,15217,150.79,2294582.19
P0073,202,Materials,Asphalt,ton,7216,94.04,678578.63
P0073,203,Materials,Topsoil,cubic_yard,20403,38.0,775350.95
P0073,300,Equipment,Excavator,hour,11407,137.24,1565466.51
P0073,301,Equipment,Bulldozer,hour,10276,159.49,1638885.81
P0073,302,Equipment,Loader,hour,5673,123.27,699335.54
P0073,303,Equipment,Compactor,hour,10145,91.04,923562.18
P0073,400,Fuel,Diesel,gallon,46420,3.77,174785.5
P0073,500,Subcontractor,Concrete Work,job,2,28587.03,57174.07
P0073,501,Subcontractor,Utility Work,job,8,23248.69,185989.5
P0074,100,Labor,General Labor,hour,4163,31.51,131195.7
P0074,101,Labor,Equipment Operators,hour,5286,43.09,227762.23
P0074,102,Labor,Supervisors,hour,2875,57.02,163943.83
P0074,103,Labor,Skilled Labor,hour,2808,50.81,142686.17
P0074,200,Materials,Gravel,ton,5997,32.64,195744.77
P0074,201,Materials,Concrete,cubic_yard,5324,142.86,760601.95
P0074,202,Materials,Asphalt,ton,2793,84.85,236996.28
P0074,203,Materials,Topsoil,cubic_yard,1831,37.57,68799.34
P0074,300,Equipment,Excavator,hour,3608,140.38,506497.57
P0074,301,Equipment,Bulldozer,hour,252,153.41,38658.37
P0074,302,Equipment,Loader,hour,3476,112.2,390012.0
P0074,303,Equipment,Compactor,hour,3411,93.23,318019.9
P0074,400,Fuel,Diesel,gallon,30655,3.71,113777.43
P0074,500,Subcontractor,Concrete Work,job,4,30162.41,120649.63
P0074,501,Subcontractor,Utility Work,job,2,22991.54,45983.08
P0075,100,Labor,General Labor,hour,5961,30.94,184413.02
P0075,101,Labor,Equipment Operators,hour,7699,43.21,332656.52
P0075,102,Labor,Supervisors,hour,8274,56.26,465523.96
P0075,103,Labor,Skilled Labor,hour,2107,46.59,98158.63
P0075,200,Materials,Gravel,ton,10013,31.8,318383.55
P0075,201,Materials,Concrete,cubic_yard,15396,134.27,2067168.39
P0075,202,Materials,Asphalt,ton,15717,97.72,1535924.36
P0075,203,Materials,Topsoil,cubic_yard,3548,35.84,127168.27
P0075,300,Equipment,Excavator,hour,2928,127.9,374497.65
P0075,301,Equipment,Bulldozer,hour,6561,165.26,1084279.86
P0075,302,Equipment,Loader,hour,2289,129.25,295859.16
P0075,303,Equipment,Compactor,hour,7387,90.96,671898.48
P0075,400,Fuel,Diesel,gallon,5296,4.11,21743.01
P0075,500,Subcontractor,Concrete Work,job,3,29365.17,88095.52
P0075,501,Subcontractor,Utility Work,job,3,21939.49,65818.47
P0076,100,Labor,General Labor,hour,3718,30.14,112065.54
P0076,101,Labor,Equipment Operators,hour,3237,45.1,145984.54
P0076,102,Labor,Supervisors,hour,3938,57.07,224748.91
P0076,103,Labor,Skilled Labor,hour,837,50.47,42239.94
P0076,200,Materials,Gravel,ton,3641,35.87,130588.55
P0076,201,Materials,Concrete,cubic_yard,1685,152.04,256180.17
P0076,202,Materials,Asphalt,ton,1420,89.59,127221.65
P0076,203,Materials,Topsoil,cubic_yard,1229,35.02,43045.59
P0076,300,Equipment,Excavator,hour,2150,143.09,307637.81
P0076,301,Equipment,Bulldozer,hour,2196,155.83,342203.26
P0076,302,Equipment,Loader,hour,2391,112.36,268661.07
P0076,303,Equipment,Compactor,hour,1320,98.21,129633.26
P0076,400,Fuel,Diesel,gallon,19639,3.94,77454.85
P0076,500,Subcontractor,Concrete Work,job,2,27228.42,54456.83
P0076,501,Subcontractor,Utility Work,job,1,23541.95,23541.95
P0077,100,Labor,General Labor,hour,2682,30.51,81832.45
P0077,101,Labor,Equipment Operators,hour,519,40.87,21209.31
P0077,102,Labor,Supervisors,hour,1854,58.79,109002.28
P0077,103,Labor,Skilled Labor,hour,2447,51.02,124840.97
P0077,200,Materials,Gravel,ton,2730,32.53,88805.76
P0077,201,Materials,Concrete,cubic_yard,1823,136.52,248876.27
P0077,202,Materials,Asphalt,ton,2410,86.31,208007.49
P0077,203,Materials,Topsoil,cubic_yard,1275,40.76,51972.48
P0077,300,Equipment,Excavator,hour,367,137.74,50549.05
P0077,301,Equipment,Bulldozer,hour,92,154.57,14220.59
P0077,302,Equipment,Loader,hour,1334,121.82,162512.02
P0077,303,Equipment,Compactor,hour,467,100.15,46770.56
P0077,400,Fuel,Diesel,gallon,7462,3.83,28615.15
P0077,500,Subcontractor,Concrete Work,job,1,28855.46,28855.46
P0077,501,Subcontractor,Utility Work,job,1,20367.45,20367.45
P0078,100,Labor,General Labor,hour,8300,33.44,277552.3
P0078,101,Labor,Equipment Operators,hour,6135,44.66,273981.66
P0078,102,Labor,Supervisors,hour,19549,51.71,1010888.89
P0078,103,Labor,Skilled Labor,hour,12006,49.7,596755.63
P0078,200,Materials,Gravel,ton,21852,34.65,757155.51
P0078,201,Materials,Concrete,cubic_yard,14749,154.51,2278804.02
P0078,202,Materials,Asphalt,ton,1667,97.42,162401.36
P0078,203,Materials,Topsoil,cubic_yard,7708,36.97,284951.43
P0078,300,Equipment,Excavator,hour,1721,129.18,222325.42
P0078,301,Equipment,Bulldozer,hour,7765,156.66,1216479.7
P0078,302,Equipment,Loader,hour,8637,118.76,1025699.28
P0078,303,Equipment,Compactor,hour,9060,102.31,926937.59
P0078,400,Fuel,Diesel,gallon,35305,3.61,127358.31
P0078,500,Subcontractor,Concrete Work,job,5,26513.81,132569.03
P0078,501,Subcontractor,Utility Work,job,5,20630.84,103154.21
P0079,100,Labor,General Labor,hour,1248,29.69,37055.19
P0079,101,Labor,Equipment Operators,hour,4935,41.69,205720.01
P0079,102,Labor,Supervisors,hour,890,54.04,48094.38
P0079,103,Labor,Skilled Labor,hour,1849,46.06,85162.23
P0079,200,Materials,Gravel,ton,1472,33.99,50029.49
P0079,201,Materials,Concrete,cubic_yard,3992,144.54,576999.4
P0079,202,Materials,Asphalt,ton,5786,94.2,545021.8
P0079,203,Materials,Topsoil,cubic_yard,4018,36.05,144849.39
P0079,300,Equipment,Excavator,hour,529,143.71,76023.28
P0079,301,Equipment,Bulldozer,hour,1497,162.06,242598.59
P0079,302,Equipment,Loader,hour,2727,128.76,351122.39
P0079,303,Equipment,Compactor,hour,882,89.3,78758.54
P0079,400,Fuel,Diesel,gallon,16567,4.15,68741.92
P0079,500,Subcontractor,Concrete Work,job,1,26529.99,26529.99
P0079,501,Subcontractor,Utility Work,job,1,22153.26,22153.26
P0080,100,Labor,General Labor,hour,19195,32.3,620001.31
P0080,101,Labor,Equipment Operators,hour,15947,41.32,658886.2
P0080,102,Labor,Supervisors,hour,16928,55.67,942329.45
P0080,103,Labor,Skilled Labor,hour,2908,50.92,148066.47
P0080,200,Materials,Gravel,ton,3037,33.65,102205.62
P0080,201,Materials,Concrete,cubic_yard,20071,152.73,3065531.36
P0080,202,Materials,Asphalt,ton,14053,99.36,1396245.6
P0080,203,Materials,Topsoil,cubic_yard,17206,40.84,702772.24
P0080,300,Equipment,Excavator,hour,6500,139.09,904069.86
P0080,301,Equipment,Bulldozer,hour,4212,149.48,629602.18
P0080,302,Equipment,Loader,hour,4591,121.67,558600.51
P0080,303,Equipment,Compactor,hour,8946,98.09,877486.55
P0080,400,Fuel,Diesel,gallon,81441,4.14,337104.42
P0080,500,Subcontractor,Concrete Work,job,5,29376.31,146881.53
P0080,501,Subcontractor,Utility Work,job,12,21494.41,257932.93
P0081,100,Labor,General Labor,hour,1631,29.45,48029.87
P0081,101,Labor,Equipment Operators,hour,9793,44.61,436821.74
P0081,102,Labor,Supervisors,hour,4495,54.76,246163.82
P0081,103,Labor,Skilled Labor,hour,8214,46.22,379658.06
P0081,200,Materials,Gravel,ton,2123,33.1,70262.71
P0081,201,Materials,Concrete,cubic_yard,7678,134.63,1033694.24
P0081,202,Materials,Asphalt,ton,2817,99.14,279273.38
P0081,203,Materials,Topsoil,cubic_yard,9169,38.83,356015.86
P0081,300,Equipment,Excavator,hour,4335,128.6,557487.77
P0081,301,Equipment,Bulldozer,hour,2813,158.44,445692.87
P0081,302,Equipment,Loader,hour,3199,128.91,412382.58
P0081,303,Equipment,Compactor,hour,461,101.2,46652.65
P0081,400,Fuel,Diesel,gallon,32363,3.64,117732.68
P0081,500,Subcontractor,Concrete Work,job,3,27177.93,81533.78
P0081,501,Subcontractor,Utility Work,job,1,23528.57,23528.57
P0082,100,Labor,General Labor,hour,18166,33.88,615491.01
P0082,101,Labor,Equipment Operators,hour,4323,38.79,167687.75
P0082,102,Labor,Supervisors,hour,17922,56.45,1011751.7
P0082,103,Labor,Skilled Labor,hour,8136,51.6,419783.73
P0082,200,Materials,Gravel,ton,16497,31.54,520369.38
P0082,201,Materials,Concrete,cubic_yard,5337,141.67,756094.17
P0082,202,Materials,Asphalt,ton,12816,86.23,1105081.41
P0082,203,Materials,Topsoil,cubic_yard,7746,38.74,300089.64
P0082,300,Equipment,Excavator,hour,4127,136.66,564006.11
P0082,301,Equipment,Bulldozer,hour,9185,160.81,1477002.13
P0082,302,Equipment,Loader,hour,8296,121.82,1010625.26
P0082,303,Equipment,Compactor,hour,8170,89.16,728403.47
P0082,400,Fuel,Diesel,gallon,8640,3.64,31491.99
P0082,500,Subcontractor,Concrete Work,job,4,26911.32,107645.29
P0082,501,Subcontractor,Utility Work,job,7,23028.0,161195.98
P0083,100,Labor,General Labor,hour,6265,30.47,190923.78
P0083,101,Labor,Equipment Operators,hour,4559,40.53,184759.72
P0083,102,Labor,Supervisors,hour,11339,53.19,603085.81
P0083,103,Labor,Skilled Labor,hour,3194,44.3,141504.44
P0083,200,Materials,Gravel,ton,13109,34.21,448410.15
P0083,201,Materials,Concrete,cubic_yard,9965,148.61,1480863.97
P0083,202,Materials,Asphalt,ton,6206,90.57,562064.48
P0083,203,Materials,Topsoil,cubic_yard,13521,40.31,544987.35
P0083,300,Equipment,Excavator,hour,4158,127.54,530328.04
P0083,301,Equipment,Bulldozer,hour,4814,164.99,794268.31
P0083,302,Equipment,Loader,hour,1129,126.61,142948.12
P0083,303,Equipment,Compactor,hour,3039,91.35,277600.74
P0083,400,Fuel,Diesel,gallon,58863,3.88,228165.32
P0083,500,Subcontractor,Concrete Work,job,8,28021.84,224174.71
P0083,501,Subcontractor,Utility Work,job,4,22164.12,88656.49
P0084,100,Labor,General Labor,hour,22893,32.45,742959.37
P0084,101,Labor,Equipment Operators,hour,23632,42.0,992472.4
P0084,102,Labor,Supervisors,hour,22227,54.07,1201908.28
P0084,103,Labor,Skilled Labor,hour,2631,51.06,134346.5
P0084,200,Materials,Gravel,ton,1102,31.63,34851.89
P0084,201,Materials,Concrete,cubic_yard,1312,137.35,180206.51
P0084,202,Materials,Asphalt,ton,10065,97.95,985894.82
P0084,203,Materials,Topsoil,cubic_yard,10491,38.9,408131.84
P0084,300,Equipment,Excavator,hour,778,141.28,109915.2
P0084,301,Equipment,Bulldozer,hour,4914,144.17,708433.6
P0084,302,Equipment,Loader,hour,4604,122.45,563751.14
P0084,303,Equipment,Compactor,hour,11143,100.53,1120160.18
P0084,400,Fuel,Diesel,gallon,52012,3.98,207205.77
P0084,500,Subcontractor,Concrete Work,job,2,25901.66,51803.32
P0084,501,Subcontractor,Utility Work,job,10,23557.96,235579.62
P0085,100,Labor,General Labor,hour,1751,32.81,57442.38
P0085,101,Labor,Equipment Operators,hour,3349,45.21,151402.58
P0085,102,Labor,Supervisors,hour,1250,54.35,67937.27
P0085,103,Labor,Skilled Labor,hour,1856,49.8,92424.5
P0085,200,Materials,Gravel,ton,2941,36.35,106898.63
P0085,201,Materials,Concrete,cubic_yard,4682,152.7,714962.93
P0085,202,Materials,Asphalt,ton,4461,90.79,405003.69
P0085,203,Materials,Topsoil,cubic_yard,1606,36.47,58576.42
P0085,300,Equipment,Excavator,hour,2729,142.48,388836.11
P0085,301,Equipment,Bulldozer,hour,2146,151.01,324070.21
P0085,302,Equipment,Loader,hour,1130,125.99,142368.75
P0085,303,Equipment,Compactor,hour,1420,87.64,124455.68
P0085,400,Fuel,Diesel,gallon,8970,4.14,37101.78
P0085,500,Subcontractor,Concrete Work,job,1,25863.7,25863.7
P0085,501,Subcontractor,Utility Work,job,3,21974.21,65922.64
P0086,100,Labor,General Labor,hour,12237,30.88,377925.51
P0086,101,Labor,Equipment Operators,hour,11016,42.71,470470.33
P0086,102,Labor,Supervisors,hour,5742,51.36,294913.27
P0086,103,Labor,Skilled Labor,hour,4928,48.98,241362.57
P0086,200,Materials,Gravel,ton,6259,34.19,213972.08
P0086,201,Materials,Concrete,cubic_yard,10424,133.59,1392560.45
P0086,202,Materials,Asphalt,ton,4825,96.39,465084.54
P0086,203,Materials,Topsoil,cubic_yard,8949,35.01,313312.21
P0086,300,Equipment,Excavator,hour,4183,145.63,609180.44
P0086,301,Equipment,Bulldozer,hour,4067,146.18,594495.2
P0086,302,Equipment,Loader,hour,3488,122.07,425789.88
P0086,303,Equipment,Compactor,hour,6627,99.32,658164.33
P0086,400,Fuel,Diesel,gallon,15159,3.82,57914.34
P0086,500,Subcontractor,Concrete Work,job,3,26200.99,78602.96
P0086,501,Subcontractor,Utility Work,job,7,23460.55,164223.87
P0087,100,Labor,General Labor,hour,23456,34.12,800330.0
P0087,101,Labor,Equipment Operators,hour,11409,39.88,455005.49
P0087,102,Labor,Supervisors,hour,9148,55.87,511074.67
P0087,103,Labor,Skilled Labor,hour,6018,46.76,281400.99
P0087,200,Materials,Gravel,ton,21716,35.02,760479.48
P0087,201,Materials,Concrete,cubic_yard,5260,134.05,705082.56
P0087,202,Materials,Asphalt,ton,3186,97.33,310093.93
P0087,203,Materials,Topsoil,cubic_yard,18056,35.0,631888.56
P0087,300,Equipment,Excavator,hour,1788,133.29,238324.22
P0087,301,Equipment,Bulldozer,hour,2256,162.36,366293.87
P0087,302,Equipment,Loader,hour,9506,128.92,1225477.03
P0087,303,Equipment,Compactor,hour,3669,90.67,332667.62
P0087,400,Fuel,Diesel,gallon,31206,3.79,118193.24
P0087,500,Subcontractor,Concrete Work,job,12,25879.18,310550.15
P0087,501,Subcontractor,Utility Work,job,11,20915.96,230075.54
P0088,100,Labor,General Labor,hour,14773,33.55,495702.28
P0088,101,Labor,Equipment Operators,hour,11012,43.2,475707.14
P0088,102,Labor,Supervisors,hour,4656,56.71,264022.39
P0088,103,Labor,Skilled Labor,hour,6226,49.99,311266.75
P0088,200,Materials,Gravel,ton,7150,35.1,250954.94
P0088,201,Materials,Concrete,cubic_yard,8696,148.3,1289632.59
P0088,202,Materials,Asphalt,ton,2124,98.65,209532.58
P0088,203,Materials,Topsoil,cubic_yard,1229,35.21,43273.91
P0088,300,Equipment,Excavator,hour,5342,135.69,724877.71
P0088,301,Equipment,Bulldozer,hour,8500,144.83,1231095.95
P0088,302,Equipment,Loader,hour,2971,123.53,367009.87
P0088,303,Equipment,Compactor,hour,1271,100.66,127942.83
P0088,400,Fuel,Diesel,gallon,12507,3.57,44619.52
P0088,500,Subcontractor,Concrete Work,job,1,28092.16,28092.16
P0088,501,Subcontractor,Utility Work,job,7,23705.95,165941.64
P0089,100,Labor,General Labor,hour,13180,32.84,432813.38
P0089,101,Labor,Equipment Operators,hour,27520,44.87,1234910.8
P0089,102,Labor,Supervisors,hour,20519,53.2,1091643.99
P0089,103,Labor,Skilled Labor,hour,7215,50.49,364310.98
P0089,200,Materials,Gravel,ton,23859,32.73,780864.75
P0089,201,Materials,Concrete,cubic_yard,23273,150.07,3492532.03
P0089,202,Materials,Asphalt,ton,22148,95.65,2118384.95
P0089,203,Materials,Topsoil,cubic_yard,23760,39.84,946573.59
P0089,300,Equipment,Excavator,hour,1913,137.19,262445.37
P0089,301,Equipment,Bulldozer,hour,12677,162.79,2063747.96
P0089,302,Equipment,Loader,hour,2659,112.79,299921.73
P0089,303,Equipment,Compactor,hour,11197,93.98,1052278.2
P0089,400,Fuel,Diesel,gallon,90127,3.69,332493.4
P0089,500,Subcontractor,Concrete Work,job,7,28644.64,200512.51
P0089,501,Subcontractor,Utility Work,job,7,23338.47,163369.31
P0090,100,Labor,General Labor,hour,1856,32.97,61190.5
P0090,101,Labor,Equipment Operators,hour,2134,43.2,92198.49
P0090,102,Labor,Supervisors,hour,1563,57.58,89999.14
P0090,103,Labor,Skilled Labor,hour,1885,44.4,83695.62
P0090,200,Materials,Gravel,ton,1534,31.62,48509.01
P0090,201,Materials,Concrete,cubic_yard,1900,152.38,289531.33
P0090,202,Materials,Asphalt,ton,670,89.32,59847.56
P0090,203,Materials,Topsoil,cubic_yard,2768,36.99,102382.11
P0090,300,Equipment,Excavator,hour,820,131.73,108016.79
P0090,301,Equipment,Bulldozer,hour,102,161.71,16494.62
P0090,302,Equipment,Loader,hour,898,128.35,115254.1
P0090,303,Equipment,Compactor,hour,297,90.15,26775.78
P0090,400,Fuel,Diesel,gallon,3146,3.73,11745.5
P0090,500,Subcontractor,Concrete Work,job,1,29537.44,29537.44
P0090,501,Subcontractor,Utility Work,job,1,20778.71,20778.71
P0091,100,Labor,General Labor,hour,534,33.92,18113.85
P0091,101,Labor,Equipment Operators,hour,1827,44.87,81974.09
P0091,102,Labor,Supervisors,hour,2041,50.63,103342.27
P0091,103,Labor,Skilled Labor,hour,1266,46.06,58307.75
P0091,200,Materials,Gravel,ton,1012,32.87,33259.51
P0091,201,Materials,Concrete,cubic_yard,1326,143.8,190681.6
P0091,202,Materials,Asphalt,ton,186,96.38,17926.58
P0091,203,Materials,Topsoil,cubic_yard,360,37.48,13492.82
P0091,300,Equipment,Excavator,hour,217,129.32,28062.17
P0091,301,Equipment,Bulldozer,hour,691,163.25,112804.85
P0091,302,Equipment,Loader,hour,310,125.9,39028.41
P0091,303,Equipment,Compactor,hour,977,94.01,91844.64
P0091,400,Fuel,Diesel,gallon,7970,3.89,31011.3
P0091,500,Subcontractor,Concrete Work,job,1,29157.67,29157.67
P0091,501,Subcontractor,Utility Work,job,1,23748.29,23748.29
P0092,100,Labor,General Labor,hour,17744,34.23,607309.17
P0092,101,Labor,Equipment Operators,hour,11073,42.85,474477.87
P0092,102,Labor,Supervisors,hour,13108,54.51,714573.29
P0092,103,Labor,Skilled Labor,hour,12486,44.84,559866.99
P0092,200,Materials,Gravel,ton,7526,31.63,238037.0
P0092,201,Materials,Concrete,cubic_yard,18782,142.62,2678614.04
P0092,202,Materials,Asphalt,ton,11994,97.95,1174808.64
P0092,203,Materials,Topsoil,cubic_yard,20176,37.12,749004.61
P0092,300,Equipment,Excavator,hour,10524,134.19,1412184.14
P0092,301,Equipment,Bulldozer,hour,2245,165.03,370501.8
P0092,302,Equipment,Loader,hour,5837,113.05,659843.95
P0092,303,Equipment,Compactor,hour,6451,97.97,631992.64
P0092,400,Fuel,Diesel,gallon,42412,3.78,160227.11
P0092,500,Subcontractor,Concrete Work,job,5,27535.14,137675.68
P0092,501,Subcontractor,Utility Work,job,10,21280.52,212805.2
P0093,100,Labor,General Labor,hour,4328,33.2,143703.96
P0093,101,Labor,Equipment Operators,hour,12214,38.98,476055.81
P0093,102,Labor,Supervisors,hour,5306,56.01,297210.33
P0093,103,Labor,Skilled Labor,hour,2843,50.13,142533.58
P0093,200,Materials,Gravel,ton,15287,31.59,482894.26
P0093,201,Materials,Concrete,cubic_yard,11923,147.66,1760546.29
P0093,202,Materials,Asphalt,ton,11108,89.63,995632.32
P0093,203,Materials,Topsoil,cubic_yard,1859,38.81,72153.94
P0093,300,Equipment,Excavator,hour,1355,135.57,183701.17
P0093,301,Equipment,Bulldozer,hour,418,150.34,62842.45
P0093,302,Equipment,Loader,hour,762,121.86,92853.74
P0093,303,Equipment,Compactor,hour,802,92.04,73816.84
P0093,400,Fuel,Diesel,gallon,12206,4.06,49505.35
P0093,500,Subcontractor,Concrete Work,job,4,30169.19,120676.75
P0093,501,Subcontractor,Utility Work,job,5,20449.48,102247.42
P0094,100,Labor,General Labor,hour,9950,34.56,343846.34
P0094,101,Labor,Equipment Operators,hour,3551,39.64,140758.37
P0094,102,Labor,Supervisors,hour,2326,59.16,137594.68
P0094,103,Labor,Skilled Labor,hour,3165,45.32,143434.74
P0094,200,Materials,Gravel,ton,6427,33.21,213448.21
P0094,201,Materials,Concrete,cubic_yard,4561,156.37,713213.05
P0094,202,Materials,Asphalt,ton,6548,91.38,598333.61
P0094,203,Materials,Topsoil,cubic_yard,4246,40.04,170004.16
P0094,300,Equipment,Excavator,hour,1445,131.02,189325.61
P0094,301,Equipment,Bulldozer,hour,821,151.87,124682.1
P0094,302,Equipment,Loader,hour,340,124.86,42451.46
P0094,303,Equipment,Compactor,hour,3257,95.05,309576.58
P0094,400,Fuel,Diesel,gallon,12067,4.05,48925.72
P0094,500,Subcontractor,Concrete Work,job,1,27841.97,27841.97
P0094,501,Subcontractor,Utility Work,job,7,20871.65,146101.53
